gene,highly_variable,means,dispersions,dispersions_norm,hvg_rank
C5orf15,True,0.18610555944081528,2.516456998682282,1.2431936,1462
TRIM23,True,0.17915584875092544,2.540295365380689,1.346097,1270
BCL6,True,0.3832775061837515,2.8849677962797045,3.3646357,96
PFKFB4,True,0.5914292798767604,2.82697211494254,3.0283232,127
USP9Y,True,0.06303713997569853,2.5587224447370933,1.4256415,1147
HYAL1,True,0.028687781373126945,2.506946649495004,1.2021401,1535
GBE1,True,0.9123177871710237,2.9267828775009446,2.6352491,207
CSPG5,True,0.04528711951025467,2.6250448760321135,1.7119365,768
ACTR1B,True,0.16402493565310808,2.6401426106116963,1.7771091,692
ACVR1,True,0.6669801430550109,2.54640425712368,1.4013311,1182
PDE1A,True,0.12500200542506865,2.5364432045570315,1.3294684,1298
APC2,True,0.045260814979803374,2.5726203973254904,1.485635,1053
PCGF1,True,0.03534407087080974,2.8165933764221727,2.5387967,240
LOXL3,True,0.030525958235370947,2.4764201458409256,1.0703659,1852
CCDC88A,True,0.9784402364368124,2.801074101381867,2.048684,474
FN1,True,0.8252393835958955,3.121420219545981,3.5434394,77
IGFBP5,True,1.2660510191384307,3.7169810948742046,5.637756,9
ST3GAL5,True,0.2957937325144843,2.626545112300201,1.7184126,759
IL1R1,True,0.31132691651382866,2.751101791878593,2.2560883,344
SLC25A12,True,0.539832412151012,2.5327783844760856,1.3223156,1314
PLCL1,True,0.928570380355538,2.8743246325960023,2.3904755,303
AC087235.1,True,0.420241679842103,2.8215989497705687,2.9971645,130
ATF2,True,0.6980055163248646,2.5667833956809356,1.5195081,1003
C2orf42,True,0.34430473848238907,2.540164490905572,1.3455321,1271
EPHA4,True,0.7272214391340726,2.8990891504820318,2.5060284,250
PAPPA2,True,0.044062258816618446,2.5060026303852907,1.198065,1545
TMEM59,True,0.6279905132714306,2.534687186467217,1.3333846,1290
RNF19B,True,0.19571770335010777,2.550230765700002,1.3889853,1198
